id	name	onlineX
347269	Gamdom.ACCM.mYi	1.2
199325	GL.Hera	1.2
251265	TheMbL	1.2
409748	Capoch	1
506898	Liereyy	1.2
197964	_LY_Yo	1.2
196240	GL.TheViper	0.5
9555704	Ganji	1
197964	GL.DauT	1.2
1531083	FreakinAndy	1.2
1224481	KASVA	1
666976	_Barles_	1
265517	mYi.Daniel	1
582058	Hearttt	1
1754629	SalzZ_classicpro	1
271202	SalzZ_Vinchester	1.1
208393	Nicov	1.1
196310	Mr.F1Re	1
212721	mYi.Sitaux	1
2783660	Fox.Sebastian	1
614315	slam	1
208611	Villese	1.1
199170	[Fs] dogao	1
230475	El_Matador	1
3241077	HOANG	1
579679	Fox.Margougou	0.9
9579739	mentalist_	1
458029	Darknoob	0.9
2444511	Gabi	0.5
197388	GL.TaToH	0.5